trade_date,branch,gate_fail_reason,count
2026-03-31,continuation_compare,range_fail,1
2026-03-31,continuation_compare,vwap_fail,1
2026-03-31,reclaim_first5_high,compound_fail,1
2026-03-31,reclaim_first5_high,pace_fail,1
2026-03-31,reclaim_first5_high,range_fail,1
2026-03-31,reclaim_first5_high,regime_fail,1
2026-03-31,reclaim_first5_high,vwap_fail,1
2026-03-31,reclaim_vwap,compound_fail,1
2026-03-31,reclaim_vwap,pace_fail,1
2026-03-31,reclaim_vwap,range_fail,1
2026-03-31,reclaim_vwap,regime_fail,1
2026-03-31,reclaim_vwap,vwap_fail,1
2026-04-01,continuation_compare,pace_fail,1
2026-04-01,reclaim_first5_high,compound_fail,1
2026-04-01,reclaim_first5_high,pace_fail,1
2026-04-01,reclaim_first5_high,regime_fail,3
2026-04-01,reclaim_vwap,compound_fail,1
2026-04-01,reclaim_vwap,pace_fail,1
2026-04-01,reclaim_vwap,regime_fail,3
2026-04-13,continuation_compare,compound_fail,1
2026-04-13,continuation_compare,pace_fail,1
2026-04-13,continuation_compare,range_fail,1
2026-04-13,continuation_compare,regime_fail,1
2026-04-13,continuation_compare,vwap_fail,1
2026-04-13,reclaim_first5_high,compound_fail,1
2026-04-13,reclaim_first5_high,range_fail,1
2026-04-13,reclaim_first5_high,vwap_fail,1
2026-04-13,reclaim_vwap,compound_fail,1
2026-04-13,reclaim_vwap,range_fail,1
2026-04-13,reclaim_vwap,vwap_fail,1
2026-04-16,continuation_compare,compound_fail,1
2026-04-16,continuation_compare,pace_fail,1
2026-04-16,continuation_compare,range_fail,1
2026-04-16,continuation_compare,regime_fail,1
2026-04-16,reclaim_first5_high,compound_fail,1
2026-04-16,reclaim_first5_high,pace_fail,1
2026-04-16,reclaim_first5_high,range_fail,1
2026-04-16,reclaim_vwap,compound_fail,1
2026-04-16,reclaim_vwap,pace_fail,1
2026-04-16,reclaim_vwap,range_fail,1
